"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"10452","D061301156",42220,"USHIKICHI KAMYIA, RUA",NA,"",122,"","03/06/2013 14:10",2,"SI",73,5949," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42220,"USHIKICHI KAMYIA, RUA",NA,"",38,"JACANA",1,0,"USHIKICHI KAMYIA, RUA 122 SAO PAULO SP",-23.4428602,-46.5935259
"10453","D061300478",16919,"REBOUCAS, AV",10518,"JOAQUIM ANTUNES, RUA",0,"","03/06/2013 14:20",4,"AT",14,5648," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10518,"JOAQUIM ANTUNES, RUA",16919,"REBOUCAS, AV",63,"PINHEIROS",2,0,"REBOUCAS, AV SAO PAULO SP &  JOAQUIM ANTUNES, RUA SAO PAULO SP",-23.5666153,-46.6829404
"10454","D061301543",17772,"SANT'ANNA, AV COMEN",NA,"",97,"","03/06/2013 14:30",2,"CF",47,900160," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17772,"SANT'ANNA, AV COMEN",NA,"",29,"FREGUESIA DO O",1,0,"SANT'ANNA, AV COMEN 97 SAO PAULO SP",-23.5200854,-46.7011304
"10455","D061301330",19708,"VILA EMA, AV",NA,"",1516,"","03/06/2013 14:30",2,"QM",42,1979," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19708,"VILA EMA, AV",NA,"",26,"CONSOLACAO",1,0,"VILA EMA, AV 1516 SAO PAULO SP",-23.5812693,-46.5620754
"10456","D061302023",23678,"ALZIRO ZARUR, AV",NA,"",1945,"","03/06/2013 14:30",4,"AT",66,2372," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23678,"ALZIRO ZARUR, AV",NA,"",0,"NULL",1,0,"ALZIRO ZARUR, AV 1945 SAO PAULO SP",-23.5703676,-46.4904833
"10457","D061300800",63084,"JANDIATUBA, RUA",NA,"",10,"","03/06/2013 14:40",2,"SI",89,4907," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63084,"JANDIATUBA, RUA",NA,"",29,"FREGUESIA DO O",1,0,"JANDIATUBA, RUA 10 SAO PAULO SP",-23.6283791,-46.7358455
"10458","D061301157",6224,"EDU CHAVES, AV",NA,"",821,"","03/06/2013 15:00",4,"AT",73,5955," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6224,"EDU CHAVES, AV",NA,"",38,"JACANA",2,0,"EDU CHAVES, AV 821 SAO PAULO SP",-23.4745965,-46.5702641
"10460","D061301391",15047,"ORFANATO, RUA",NA,"",1366,"","03/06/2013 15:48",2,"CO",57,1235," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15047,"ORFANATO, RUA",NA,"",33,"IPIRANGA",1,0,"ORFANATO, RUA 1366 SAO PAULO SP",-23.5763169,-46.5729384
"10461","D061301362",27094,"SALIM FARAH MALUF, AV",NA,"",400,"","03/06/2013 16:00",2,"CO",52,1912," "," ",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27094,"SALIM FARAH MALUF, AV",NA,"",82,"TATUAPE",1,0,"SALIM FARAH MALUF, AV 400 SAO PAULO SP",-23.5786259,-46.5718653
"10462","D061301478",33015,"SADAMU INOUE, AV",NA,"",5067,"","03/06/2013 16:00",2,"CO",25,1488," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33015,"SADAMU INOUE, AV",NA,"",76,"SAO MIGUEL",1,0,"SADAMU INOUE, AV 5067 SAO PAULO SP",-23.8135303,-46.7354083
"10463","D061301931",19012,"TITA RUFFO, RUA",NA,"",612,"","03/06/2013 16:11",4,"AT",49,7740," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19012,"TITA RUFFO, RUA",NA,"",55,"MORUMBI",1,0,"TITA RUFFO, RUA 612 SAO PAULO SP",-23.6024821,-46.4768047
"10464","D061302030",9580,"ITAQUERA, AV",NA,"",2400,"","03/06/2013 16:45",2,"CO",66,3935," "," ",2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9580,"ITAQUERA, AV",NA,"",24,"CIDADE LIDER",1,0,"ITAQUERA, AV 2400 SAO PAULO SP",-23.5495097,-46.5024584
"10465","D061300203",2497,"AUGUSTA, RUA",NA,"",2024,"","03/06/2013 17:03",4,"AT",78,4762,"B"," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,"AUGUSTA, RUA",NA,"",26,"CONSOLACAO",1,0,"AUGUSTA, RUA 2024 SAO PAULO SP",-23.5600448,-46.6622527
"10466","D061301358",4736,"CELSO GARCIA, AV",NA,"",5868,"","03/06/2013 17:36",2,"CO",52,1689," "," ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4736,"CELSO GARCIA, AV",NA,"",82,"TATUAPE",1,0,"CELSO GARCIA, AV 5868 SAO PAULO SP",-23.5306472,-46.5564305
