,id_acidente,codloga,logradouroA,codlogb,logradouroB,alt_num,referencia,data,cod_acid,tipo_acidente,dp,numero_BO,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,princ_a,paiA,princ_b,paiB,cod_distrito,distrito,vit_ferida,vit_morta,local,lat,lon,loc/type,loc/coordinates/0,loc/coordinates/1
6265,D041300131,17517,"RUI BARBOSA, RUA",NA,,22,,06/04/2013 07:30,2,CO,5,2698, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17517,"RUI BARBOSA, RUA",NA,,17,CAMPO LIMPO,1,0,"RUI BARBOSA, RUA 22 SAO PAULO SP",-23.5582913,-46.6454516,Point,-46.6454516,-23.5582913
5952,D041300088,5245,"CONSOLACAO, RUA DA",NA,,1560,,02/04/2013 15:08,2,CT,4,2441, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,"CONSOLACAO, RUA DA",NA,,26,CONSOLACAO,1,0,"CONSOLACAO, RUA DA 1560 SAO PAULO SP",-23.5508246,-46.6557929,Point,-46.6557929,-23.5508246
10924,D061300104,12690,"MANOEL DUTRA, RUA",17517,"RUI BARBOSA, RUA",0,,09/06/2013 07:40,2,CO,5,4977, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12690,"MANOEL DUTRA, RUA",17517,"RUI BARBOSA, RUA",7,BELA VISTA,1,0,"MANOEL DUTRA, RUA SAO PAULO SP &  RUI BARBOSA, RUA SAO PAULO SP",-23.5555126,-46.646692,Point,-46.646692,-23.5555126
3451,D021300446,16919,"REBOUCAS, AV",NA,,450,,28/02/2013 11:15,2,CO,14,1827, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16919,"REBOUCAS, AV",NA,,44,JARDIM PAULISTA,1,0,"REBOUCAS, AV 450 SAO PAULO SP",-23.5575713,-46.6672891,Point,-46.6672891,-23.5575713
576,D011300189,4160,"CAPANEMA, RUA BR DE",10362,"JOAO MANUEL, RUA PDE",0,,12/01/2013 16:04,2,CO,78,296, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4160,"CAPANEMA, RUA BR DE",10362,"JOAO MANUEL, RUA PDE",44,JARDIM PAULISTA,1,0,"CAPANEMA, RUA BR DE SAO PAULO SP &  JOAO MANUEL, RUA PDE SAO PAULO SP",-23.5675249,-46.6659683,Point,-46.6659683,-23.5675249
11759,D061300080,1497,"ANTONIA DE QUEIROS, RUA DONA",5245,"CONSOLACAO, RUA DA",0,,20/06/2013 17:40,2,CO,4,4296, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,"ANTONIA DE QUEIROS, RUA DONA",5245,"CONSOLACAO, RUA DA",26,CONSOLACAO,1,0,"ANTONIA DE QUEIROS, RUA DONA SAO PAULO SP &  CONSOLACAO, RUA DA SAO PAULO SP",-23.5510949,-46.6530739,Point,-46.6530739,-23.5510949
11833,D061300221,4526,"CASA BRANCA, AL",NA,,1177,,21/06/2013 17:00,4,AT,78,5450, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4526,"CASA BRANCA, AL",NA,,44,JARDIM PAULISTA,1,0,"CASA BRANCA, AL 1177 SAO PAULO SP",-23.5697309,-46.6637691,Point,-46.6637691,-23.5697309
5439,D031300095,2271,"ARNALDO, AV DR",NA,,10,,26/03/2013 12:30,4,AT,4,2256, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,"ARNALDO, AV DR",NA,,26,CONSOLACAO,1,0,"ARNALDO, AV DR 10 SAO PAULO SP",-23.5559912,-46.6665754,Point,-46.6665754,-23.5559912
7970,D041300140,4503,"CARRAO, RUA CONS",19154,"TREZE DE MAIO, RUA",0,,30/04/2013 06:55,2,CL,5,3112, , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4503,"CARRAO, RUA CONS",19154,"TREZE DE MAIO, RUA",7,BELA VISTA,1,0,"CARRAO, RUA CONS SAO PAULO SP &  TREZE DE MAIO, RUA SAO PAULO SP",-23.5577373,-46.6452872,Point,-46.6452872,-23.5577373
60,D011300185,15372,"PAMPLONA, RUA",NA,,1743,,02/01/2013 16:45,4,AT,78,60, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,"PAMPLONA, RUA",NA,,17,CAMPO LIMPO,1,0,"PAMPLONA, RUA 1743 SAO PAULO SP",-23.5713366,-46.6611168,Point,-46.6611168,-23.5713366
7719,D041300275,15656,"PAULISTA, AV",NA,,406,,26/04/2013 12:43,2,CO,78,2284, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,1,0,"PAULISTA, AV 406 SAO PAULO SP",-23.5686768,-46.6475859,Point,-46.6475859,-23.5686768
11887,D061300711,46890,"ALEXIOS JAFET (ESTR.CAMPINAS), AV",NA,,1400,,22/06/2013 12:36,4,AT,46,5979, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46890,"ALEXIOS JAFET (ESTR.CAMPINAS), AV",NA,,41,JARAGUA,1,0,"ALEXIOS JAFET (ESTR.CAMPINAS), AV 1400 SAO PAULO SP",-23.5720285,-46.6592023,Point,-46.6592023,-23.5720285
